ax,ay,az,wx,wy,wz
0.24016400000000004,-0.176042,1.280405,0.211518,-3.516011,-0.450638
0.09747799999999998,-0.10229,1.096131,0.22547,-4.157347,-0.42291
-0.06873099999999999,-0.026952000000000007,0.936718,0.118016,-4.766806,-0.371419
-0.277855,0.031802,0.7906149999999998,-0.156272,-5.317916,-0.268492
-0.536424,0.09044899999999997,0.6512879999999999,-0.645141,-5.80474,-0.175798
-0.836028,0.14194899999999996,0.495085,-1.300956,-6.195275,-0.15487999999999996
-1.146794,0.208622,0.295235,-1.900494,-6.540301,-0.332932
-1.422694,0.326099,0.04940899999999993,-2.165201,-6.746277,-0.445373
-1.580234,0.432854,-0.31914200000000004,-1.4622,-6.757314,-0.557263
-1.683076,0.46271,-0.563094,-0.891125,-6.604504,-0.423537
-1.783673,0.402382,-0.620312,-1.69188,-6.936346,-0.102508
-2.1022,0.417679,-0.786882,-2.869685,-6.92366,-0.500901
-2.341232,0.6073810000000001,-0.967409,-3.294531,-6.648845,-0.656758
-2.354262,0.7081200000000001,-1.143386,-2.43801,-6.75623,-0.772949
-2.475472,0.760953,-1.246862,-1.181576,-6.769538,-0.787108
-2.643126,0.806402,-1.302145,-0.26683,-6.759505,-0.880448
-2.722709,0.699543,-1.426204,0.015412,-6.395594,-0.593261
-2.638878,0.582425,-1.652069,0.429875,-6.03955,-0.224962
-2.548908,0.539333,-1.6201470000000002,0.601593,-5.865251,-0.005274
-2.56712,0.439834,-1.516773,0.090521,-5.243269,0.064948
-2.448873,0.254161,-1.72605,-0.951971,-4.114906,0.273072
-2.109691,0.208763,-1.8476,-1.965289,-3.696912,0.172385
-1.842296,0.335656,-1.865151,-2.437111,-3.352112,0.205753
-1.663973,0.548809,-2.184411,-1.669871,-2.687798,0.145976
-1.451107,0.664887,-2.545543,-0.046246,-1.837504,-0.023299
-1.299978,0.583764,-2.763209,0.680106,-0.585774,0.245165
-1.235167,0.396721,-2.893548,0.539083,0.528951,0.24173
-1.298104,0.329393,-2.950222,0.03716,1.818014,0.367517
-1.442091,0.401745,-2.885464,-0.703034,2.737539,0.43069
-1.604094,0.637242,-2.843365,-0.78213,3.422637,0.494503
